Start,Finish,Steps
22-Jun-2015 00:00,23-Jun-2015 00:00,8478.0
23-Jun-2015 00:00,24-Jun-2015 00:00,0.0
24-Jun-2015 00:00,25-Jun-2015 00:00,6155.0
25-Jun-2015 00:00,26-Jun-2015 00:00,0.0
26-Jun-2015 00:00,27-Jun-2015 00:00,15261.0
27-Jun-2015 00:00,28-Jun-2015 00:00,5546.0
28-Jun-2015 00:00,29-Jun-2015 00:00,4580.0
29-Jun-2015 00:00,30-Jun-2015 00:00,2928.0
30-Jun-2015 00:00,01-Jul-2015 00:00,5116.0
01-Jul-2015 00:00,02-Jul-2015 00:00,1305.0
02-Jul-2015 00:00,03-Jul-2015 00:00,12839.0
03-Jul-2015 00:00,04-Jul-2015 00:00,1825.0
04-Jul-2015 00:00,05-Jul-2015 00:00,3278.0
05-Jul-2015 00:00,06-Jul-2015 00:00,1961.0
06-Jul-2015 00:00,07-Jul-2015 00:00,1340.0
07-Jul-2015 00:00,08-Jul-2015 00:00,4405.0
08-Jul-2015 00:00,09-Jul-2015 00:00,2010.0
09-Jul-2015 00:00,10-Jul-2015 00:00,9512.0
10-Jul-2015 00:00,11-Jul-2015 00:00,2362.0
11-Jul-2015 00:00,12-Jul-2015 00:00,18.0
12-Jul-2015 00:00,13-Jul-2015 00:00,10489.0
13-Jul-2015 00:00,14-Jul-2015 00:00,6136.0
14-Jul-2015 00:00,15-Jul-2015 00:00,4571.0
15-Jul-2015 00:00,16-Jul-2015 00:00,17.0
16-Jul-2015 00:00,17-Jul-2015 00:00,4304.0
17-Jul-2015 00:00,18-Jul-2015 00:00,664.0
18-Jul-2015 00:00,19-Jul-2015 00:00,2098.0
19-Jul-2015 00:00,20-Jul-2015 00:00,4152.0
20-Jul-2015 00:00,21-Jul-2015 00:00,5920.0
21-Jul-2015 00:00,22-Jul-2015 00:00,3998.0
22-Jul-2015 00:00,23-Jul-2015 00:00,2199.0
23-Jul-2015 00:00,24-Jul-2015 00:00,7935.55380575945
24-Jul-2015 00:00,25-Jul-2015 00:00,24080.4461942406
25-Jul-2015 00:00,26-Jul-2015 00:00,15226.0
26-Jul-2015 00:00,27-Jul-2015 00:00,22751.0
27-Jul-2015 00:00,28-Jul-2015 00:00,13211.0
28-Jul-2015 00:00,29-Jul-2015 00:00,1145.0
29-Jul-2015 00:00,30-Jul-2015 00:00,10198.0
30-Jul-2015 00:00,31-Jul-2015 00:00,4798.0
31-Jul-2015 00:00,01-Aug-2015 00:00,5841.0
01-Aug-2015 00:00,02-Aug-2015 00:00,3533.0
02-Aug-2015 00:00,03-Aug-2015 00:00,5290.0
03-Aug-2015 00:00,04-Aug-2015 00:00,2993.0
04-Aug-2015 00:00,05-Aug-2015 00:00,4023.0
05-Aug-2015 00:00,06-Aug-2015 00:00,9674.0
06-Aug-2015 00:00,07-Aug-2015 00:00,7660.0
07-Aug-2015 00:00,08-Aug-2015 00:00,2353.0
08-Aug-2015 00:00,09-Aug-2015 00:00,12201.0
09-Aug-2015 00:00,10-Aug-2015 00:00,5535.0
10-Aug-2015 00:00,11-Aug-2015 00:00,9228.0
11-Aug-2015 00:00,12-Aug-2015 00:00,4713.0
12-Aug-2015 00:00,13-Aug-2015 00:00,2260.0
13-Aug-2015 00:00,14-Aug-2015 00:00,5156.0
14-Aug-2015 00:00,15-Aug-2015 00:00,5702.0
15-Aug-2015 00:00,16-Aug-2015 00:00,1183.0
16-Aug-2015 00:00,17-Aug-2015 00:00,5736.0
17-Aug-2015 00:00,18-Aug-2015 00:00,7251.0
18-Aug-2015 00:00,19-Aug-2015 00:00,2026.0
19-Aug-2015 00:00,20-Aug-2015 00:00,3290.0
20-Aug-2015 00:00,21-Aug-2015 00:00,7290.0
21-Aug-2015 00:00,22-Aug-2015 00:00,2930.0
22-Aug-2015 00:00,23-Aug-2015 00:00,1604.0
23-Aug-2015 00:00,24-Aug-2015 00:00,6423.0
24-Aug-2015 00:00,25-Aug-2015 00:00,8366.0
25-Aug-2015 00:00,26-Aug-2015 00:00,5991.0
26-Aug-2015 00:00,27-Aug-2015 00:00,4284.0
27-Aug-2015 00:00,28-Aug-2015 00:00,5698.0
28-Aug-2015 00:00,29-Aug-2015 00:00,176.0
29-Aug-2015 00:00,30-Aug-2015 00:00,18.0
30-Aug-2015 00:00,31-Aug-2015 00:00,6699.0
31-Aug-2015 00:00,01-Sep-2015 00:00,3863.0
01-Sep-2015 00:00,02-Sep-2015 00:00,12385.0
02-Sep-2015 00:00,03-Sep-2015 00:00,5868.0
03-Sep-2015 00:00,04-Sep-2015 00:00,7770.0
04-Sep-2015 00:00,05-Sep-2015 00:00,6193.0
05-Sep-2015 00:00,06-Sep-2015 00:00,6069.0
06-Sep-2015 00:00,07-Sep-2015 00:00,13140.0
07-Sep-2015 00:00,08-Sep-2015 00:00,10973.0
08-Sep-2015 00:00,09-Sep-2015 00:00,12969.0
09-Sep-2015 00:00,10-Sep-2015 00:00,9782.0
10-Sep-2015 00:00,11-Sep-2015 00:00,7353.0
11-Sep-2015 00:00,12-Sep-2015 00:00,12376.0
12-Sep-2015 00:00,13-Sep-2015 00:00,4318.0
13-Sep-2015 00:00,14-Sep-2015 00:00,12619.0
14-Sep-2015 00:00,15-Sep-2015 00:00,4781.0
15-Sep-2015 00:00,16-Sep-2015 00:00,5081.0
16-Sep-2015 00:00,17-Sep-2015 00:00,6331.0
17-Sep-2015 00:00,18-Sep-2015 00:00,10607.0
18-Sep-2015 00:00,19-Sep-2015 00:00,6807.0
19-Sep-2015 00:00,20-Sep-2015 00:00,21029.0
20-Sep-2015 00:00,21-Sep-2015 00:00,3222.0
21-Sep-2015 00:00,22-Sep-2015 00:00,5936.0
22-Sep-2015 00:00,23-Sep-2015 00:00,9640.0
23-Sep-2015 00:00,24-Sep-2015 00:00,11743.0
24-Sep-2015 00:00,25-Sep-2015 00:00,5236.0
25-Sep-2015 00:00,26-Sep-2015 00:00,5880.0
26-Sep-2015 00:00,27-Sep-2015 00:00,5296.0
27-Sep-2015 00:00,28-Sep-2015 00:00,3775.0
28-Sep-2015 00:00,29-Sep-2015 00:00,5943.0
29-Sep-2015 00:00,30-Sep-2015 00:00,6482.0
30-Sep-2015 00:00,01-Oct-2015 00:00,3052.0
01-Oct-2015 00:00,02-Oct-2015 00:00,10409.0
02-Oct-2015 00:00,03-Oct-2015 00:00,8345.0
03-Oct-2015 00:00,04-Oct-2015 00:00,7387.0
04-Oct-2015 00:00,05-Oct-2015 00:00,6445.0
05-Oct-2015 00:00,06-Oct-2015 00:00,4677.0
06-Oct-2015 00:00,07-Oct-2015 00:00,5716.0
07-Oct-2015 00:00,08-Oct-2015 00:00,5797.0
08-Oct-2015 00:00,09-Oct-2015 00:00,5217.0
09-Oct-2015 00:00,10-Oct-2015 00:00,8030.0
10-Oct-2015 00:00,11-Oct-2015 00:00,6081.0
11-Oct-2015 00:00,12-Oct-2015 00:00,16579.0
12-Oct-2015 00:00,13-Oct-2015 00:00,5931.0
13-Oct-2015 00:00,14-Oct-2015 00:00,10558.0
14-Oct-2015 00:00,15-Oct-2015 00:00,9216.0
15-Oct-2015 00:00,16-Oct-2015 00:00,309.0
16-Oct-2015 00:00,17-Oct-2015 00:00,6072.0
17-Oct-2015 00:00,18-Oct-2015 00:00,1737.0
18-Oct-2015 00:00,19-Oct-2015 00:00,10732.0
19-Oct-2015 00:00,20-Oct-2015 00:00,4391.0
20-Oct-2015 00:00,21-Oct-2015 00:00,1109.0
21-Oct-2015 00:00,22-Oct-2015 00:00,3816.0
22-Oct-2015 00:00,23-Oct-2015 00:00,3702.0
23-Oct-2015 00:00,24-Oct-2015 00:00,0.0
24-Oct-2015 00:00,25-Oct-2015 00:00,3836.0
25-Oct-2015 00:00,26-Oct-2015 00:00,4968.0
26-Oct-2015 00:00,27-Oct-2015 00:00,28.0
27-Oct-2015 00:00,28-Oct-2015 00:00,11.0
28-Oct-2015 00:00,29-Oct-2015 00:00,529.0
29-Oct-2015 00:00,30-Oct-2015 00:00,3523.0
30-Oct-2015 00:00,31-Oct-2015 00:00,13984.0
31-Oct-2015 00:00,01-Nov-2015 00:00,4133.0
01-Nov-2015 00:00,02-Nov-2015 00:00,10872.0
02-Nov-2015 00:00,03-Nov-2015 00:00,0.0
03-Nov-2015 00:00,04-Nov-2015 00:00,14684.0
04-Nov-2015 00:00,05-Nov-2015 00:00,11621.0
05-Nov-2015 00:00,06-Nov-2015 00:00,11730.0
06-Nov-2015 00:00,07-Nov-2015 00:00,16490.0
07-Nov-2015 00:00,08-Nov-2015 00:00,6829.0
08-Nov-2015 00:00,09-Nov-2015 00:00,48.0
09-Nov-2015 00:00,10-Nov-2015 00:00,3574.0
